Location,Coordinates,Code
Barreiro,3839 N 00904 W,BARRE
Batalha,3939 N 00849 W,BATLH
Beja (Povoacao),3800 N 00751 W,BEJA
Belas,3846 N 00916 W,BELAS
Belmonte,4021 N 00720 W,BELMO
Benavente,3858 N 00848 W,BVENT
Benavila,3906 N 00752 W,BVILA
Bensafrim,3709 N 00844 W,BENSA
Beringel,3803 N 00759 W,BRGEL
Berlengas,3924 N 00930 W,BERLN
Boliqueime,3707 N 00809 W,BEIME
Bombarral,3916 N 00909 W,BOMBA
Borba,3848 N 00727 W,BORB
Bordeira,3711 N 00851 W,BORDE
Boticas,4141 N 00740 W,BOTIC
Braga (Localidade),4132 N 00825 W,BRAGA
Braganca,4148 N 00645 W,BRGAN
Brejos,3706 N 00813 W,BREJO
Brejos Da Carregueira,3819 N 00845 W,BRCAR
Brinches,3802 N 00736 W,BCHES
Bugio (Farol),3839 N 00917 W,BUGIO
Burgau,3704 N 00846 W,BURGA
Cabecao,3857 N 00804 W,CBAO
Cabeceiras De Basto,4130 N 00759 W,CABEC
Cabeco De Vide,3907 N 00735 W,CAVID
Cabo Carvoeiro,3921 N 00924 W,CCARV
Cabo Da Roca,3846 N 00929 W,CROCA
Cabo Mondego,4010 N 00854 W,CDEGO
Cabo Raso,3842 N 00929 W,CRASO
Cabo S. Vicente,3701 N 00859 W,SVICE
Cabrela,3855 N 00827 W,CABRE
Cacela,3709 N 00732 W,CACEL
Cachopo,3719 N 00749 W,CHOPO
Cacia,4041 N 00835 W,CACIA
Cadaval,3914 N 00906 W,CADAV
Caldas Da Rainha,3924 N 00908 W,CRAIN
Cambas,4000 N 00750 W,CAMBA
Caminha,4152 N 00850 W,CAMIN
Campea,4117 N 00752 W,CMPEA
Campo Maior,3900 N 00704 W,CMAOR
Canal Caveira,3808 N 00829 W,CLAVE
Canas De Senhorim,4030 N 00754 W,CANAS
Canha,3846 N 00837 W,CANHA
Canhestros,3802 N 00817 W,CANAS
Caniceira,3916 N 00830 W,CANIC
Cantanhede,4020 N 00835 W,CANTA
Caparica (Povoacao),3839 N 00911 W,CPICA
Capinha,4012 N 00722 W,CAPIN
Caramulo,4034 N 00810 W,CRULO
Carcavelos,3841 N 00920 W,CARCA
Caria,4055 N 00735 W,CARIA
Carrapateira,3711 N 00853 W,CARRP
Carrazeda De Ansiaes,4114 N 00718 W,CZEDA
Carrazedo De Montenegro,4133 N 00725 W,CMONT
Carregado,3901 N 00858 W,CARRE
Carregosa,4053 N 00824 W,CARGS
Carregueira (Chamusca),3925 N 00824 W,CARRO
